"flu_season","year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2012-2013","2012-46","FLU A",1,2,0
"2012-2013","2012-46","A",1,0,0
"2012-2013","2012-46","A(H3N2)",1,1,0
"2012-2013","2012-46","A(H1N1) pdm09",1,1,0
"2012-2013","2012-46","FLU B",1,0,0
"2012-2013","2012-47","FLU A",52,1,0
"2012-2013","2012-47","A",52,0,0
"2012-2013","2012-47","A(H3N2)",52,0,0
"2012-2013","2012-47","A(H1N1) pdm09",52,1,0
"2012-2013","2012-47","FLU B",52,0,0
"2012-2013","2012-48","FLU A",0,2,0
"2012-2013","2012-48","A",0,0,0
"2012-2013","2012-48","A(H3N2)",0,2,0
"2012-2013","2012-48","A(H1N1) pdm09",0,0,0
"2012-2013","2012-48","FLU B",0,4,0
"2012-2013","2012-49","FLU A",55,0,0
"2012-2013","2012-49","A",55,0,0
"2012-2013","2012-49","A(H3N2)",55,0,0
"2012-2013","2012-49","A(H1N1) pdm09",55,0,0
"2012-2013","2012-49","FLU B",55,1,0
"2012-2013","2012-50","FLU A",70,3,0
"2012-2013","2012-50","A",70,1,0
"2012-2013","2012-50","A(H3N2)",70,1,0
"2012-2013","2012-50","A(H1N1) pdm09",70,1,0
"2012-2013","2012-50","FLU B",70,10,0
"2012-2013","2012-51","FLU A",68,1,0
"2012-2013","2012-51","A",68,0,0
"2012-2013","2012-51","A(H3N2)",68,1,0
"2012-2013","2012-51","A(H1N1) pdm09",68,0,0
"2012-2013","2012-51","FLU B",68,10,0
"2012-2013","2012-52","FLU A",20,2,0
"2012-2013","2012-52","A",20,0,0
"2012-2013","2012-52","A(H3N2)",20,1,0
"2012-2013","2012-52","A(H1N1) pdm09",20,1,0
"2012-2013","2012-52","FLU B",20,10,0
"2012-2013","2013-01","FLU A",57,18,0
"2012-2013","2013-01","A",57,1,0
"2012-2013","2013-01","A(H3N2)",57,6,0
"2012-2013","2013-01","A(H1N1) pdm09",57,11,0
"2012-2013","2013-01","FLU B",57,23,0
"2012-2013","2013-02","FLU A",195,31,0
"2012-2013","2013-02","A",195,2,0
"2012-2013","2013-02","A(H3N2)",195,4,0
"2012-2013","2013-02","A(H1N1) pdm09",195,25,0
"2012-2013","2013-02","FLU B",195,28,0
"2012-2013","2013-03","FLU A",267,41,0
"2012-2013","2013-03","A",267,3,0
"2012-2013","2013-03","A(H3N2)",267,3,0
"2012-2013","2013-03","A(H1N1) pdm09",267,35,0
"2012-2013","2013-03","FLU B",267,55,0
"2012-2013","2013-04","FLU A",297,43,0
"2012-2013","2013-04","A",297,2,0
"2012-2013","2013-04","A(H3N2)",297,7,0
"2012-2013","2013-04","A(H1N1) pdm09",297,34,0
"2012-2013","2013-04","FLU B",297,91,0
"2012-2013","2013-05","FLU A",374,82,0
"2012-2013","2013-05","A",374,5,0
"2012-2013","2013-05","A(H3N2)",374,10,0
"2012-2013","2013-05","A(H1N1) pdm09",374,67,0
"2012-2013","2013-05","FLU B",374,145,0
"2012-2013","2013-06","FLU A",379,92,0
"2012-2013","2013-06","A",379,6,0
"2012-2013","2013-06","A(H3N2)",379,8,0
"2012-2013","2013-06","A(H1N1) pdm09",379,78,0
"2012-2013","2013-06","FLU B",379,163,0
"2012-2013","2013-07","FLU A",467,105,0
"2012-2013","2013-07","A",467,0,0
"2012-2013","2013-07","A(H3N2)",467,5,0
"2012-2013","2013-07","A(H1N1) pdm09",467,100,0
"2012-2013","2013-07","FLU B",467,155,0
"2012-2013","2013-08","FLU A",380,83,0
"2012-2013","2013-08","A",380,6,0
"2012-2013","2013-08","A(H3N2)",380,9,0
"2012-2013","2013-08","A(H1N1) pdm09",380,68,0
"2012-2013","2013-08","FLU B",380,189,0
"2012-2013","2013-09","FLU A",351,121,0
"2012-2013","2013-09","A",351,10,0
"2012-2013","2013-09","A(H3N2)",351,11,0
"2012-2013","2013-09","A(H1N1) pdm09",351,100,0
"2012-2013","2013-09","FLU B",351,125,0
"2012-2013","2013-10","FLU A",304,107,0
"2012-2013","2013-10","A",304,9,0
"2012-2013","2013-10","A(H3N2)",304,20,0
"2012-2013","2013-10","A(H1N1) pdm09",304,78,0
"2012-2013","2013-10","FLU B",304,85,0
"2012-2013","2013-11","FLU A",273,66,0
"2012-2013","2013-11","A",273,7,0
"2012-2013","2013-11","A(H3N2)",273,11,0
"2012-2013","2013-11","A(H1N1) pdm09",273,48,0
"2012-2013","2013-11","FLU B",273,55,0
"2012-2013","2013-12","FLU A",257,45,0
"2012-2013","2013-12","A",257,0,0
"2012-2013","2013-12","A(H3N2)",257,7,0
"2012-2013","2013-12","A(H1N1) pdm09",257,38,0
"2012-2013","2013-12","FLU B",257,46,0
"2012-2013","2013-13","FLU A",104,35,0
"2012-2013","2013-13","A",104,8,0
"2012-2013","2013-13","A(H3N2)",104,6,0
"2012-2013","2013-13","A(H1N1) pdm09",104,21,0
"2012-2013","2013-13","FLU B",104,21,0
"2012-2013","2013-14","FLU A",94,10,0
"2012-2013","2013-14","A",94,2,0
"2012-2013","2013-14","A(H3N2)",94,2,0
"2012-2013","2013-14","A(H1N1) pdm09",94,6,0
"2012-2013","2013-14","FLU B",94,9,0
"2012-2013","2013-15","FLU A",90,4,0
"2012-2013","2013-15","A",90,1,0
"2012-2013","2013-15","A(H3N2)",90,1,0
"2012-2013","2013-15","A(H1N1) pdm09",90,2,0
"2012-2013","2013-15","FLU B",90,0,0
"2012-2013","2013-16","FLU A",53,2,0
"2012-2013","2013-16","A",53,1,0
"2012-2013","2013-16","A(H3N2)",53,0,0
"2012-2013","2013-16","A(H1N1) pdm09",53,1,0
"2012-2013","2013-16","FLU B",53,1,0
"2012-2013","2013-17","FLU A",70,1,0
"2012-2013","2013-17","A",70,1,0
"2012-2013","2013-17","A(H3N2)",70,0,0
"2012-2013","2013-17","A(H1N1) pdm09",70,0,0
"2012-2013","2013-17","FLU B",70,0,0
"2013-2014","2013-46","FLU A",133,0,0
"2013-2014","2013-46","A",133,0,0
"2013-2014","2013-46","A(H3N2)",133,0,0
"2013-2014","2013-46","A(H1N1) pdm09",133,0,0
"2013-2014","2013-46","FLU B",133,0,0
"2013-2014","2013-47","FLU A",64,0,0
"2013-2014","2013-47","A",64,0,0
"2013-2014","2013-47","A(H3N2)",64,0,0
"2013-2014","2013-47","A(H1N1) pdm09",64,0,0
"2013-2014","2013-47","FLU B",64,0,0
"2013-2014","2013-48","FLU A",24,2,0
"2013-2014","2013-48","A",24,0,0
"2013-2014","2013-48","A(H3N2)",24,2,0
"2013-2014","2013-48","A(H1N1) pdm09",24,0,0
"2013-2014","2013-48","FLU B",24,0,0
"2013-2014","2013-49","FLU A",65,6,0
"2013-2014","2013-49","A",65,0,0
"2013-2014","2013-49","A(H3N2)",65,6,0
"2013-2014","2013-49","A(H1N1) pdm09",65,0,0
"2013-2014","2013-49","FLU B",65,0,0
"2013-2014","2013-50","FLU A",65,9,0
"2013-2014","2013-50","A",65,0,0
"2013-2014","2013-50","A(H3N2)",65,9,0
"2013-2014","2013-50","A(H1N1) pdm09",65,0,0
"2013-2014","2013-50","FLU B",65,0,0
"2013-2014","2013-51","FLU A",87,10,0
"2013-2014","2013-51","A",87,0,0
"2013-2014","2013-51","A(H3N2)",87,8,0
