year_week;number_healthcare_workers;number_cases;population;incidence;pop_0-4;cases_0-4;inc_0-4;pop_5-14;cases_5-14;inc_5-14;pop_15-64;cases_15-64;inc_15-64;pop_65+;cases_65+;inc_65+
2022-42;1303;7463;1720651;4.34;91238;1117;12.24;223753;1080;4.83;1001771;4140;4.13;403889;1126;2.79
2022-43;1303;7744;1718166;4.51;92385;1404;15.20;226485;1222;5.40;997181;3937;3.95;402115;1181;2.94
2022-44;1319;8955;1737501;5.15;93513;1445;15.45;229210;1504;6.56;1007816;4748;4.71;406962;1258;3.09
2022-45;1352;12440;1785386;6.97;95358;2121;22.24;234051;2431;10.39;1037082;6351;6.12;418895;1537;3.67
2022-46;1380;17690;1824164;9.70;97329;2780;28.56;238879;3933;16.46;1059689;8903;8.40;428267;2074;4.84
2022-47;1379;23889;1822123;13.11;98005;3943;40.23;240051;5855;24.39;1055880;11606;10.99;428187;2485;5.80
2022-48;1364;28408;1798800;15.79;97132;4789;49.30;238176;6826;28.66;1041784;13971;13.41;421708;2822;6.69
2022-49;1350;27853;1784495;15.61;96954;4852;50.04;236871;6465;27.29;1031788;13662;13.24;418882;2874;6.86
2022-50;1271;25483;1681417;15.16;93092;4278;45.95;227244;5184;22.81;967466;13239;13.68;393615;2782;7.07
2022-51;938;16200;1237160;13.09;67487;2613;38.72;167540;3130;18.68;716238;8591;11.99;285895;1866;6.53
