"year_week","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2023-42",1543,10142,2048121,4.95,112309,1074,9.56,270959,1058,3.9,1184850,6353,5.36,480003,1657,3.45
"2023-43",1549,10677,2056217,5.19,111107,1146,10.31,270242,1124,4.16,1191297,6694,5.62,483571,1713,3.54
"2023-44",1555,11518,2063834,5.58,112195,1207,10.76,271587,1251,4.61,1195346,7135,5.97,484706,1925,3.97
"2023-45",1591,14622,2112120,6.92,114709,1456,12.69,278798,1569,5.63,1223017,9168,7.5,495596,2429,4.9
"2023-46",1631,17865,2160358,8.27,119149,1909,16.02,288852,1966,6.81,1247008,11033,8.85,505349,2957,5.85
"2023-47",1649,21337,2187747,9.75,119633,2294,19.18,289429,2267,7.83,1266536,13467,10.63,512149,3309,6.46
"2023-48",1661,25424,2204953,11.53,121375,2920,24.06,292296,2941,10.06,1275260,15800,12.39,516022,3763,7.29
"2023-49",1671,27899,2221386,12.56,122110,3179,26.03,292416,3625,12.4,1285587,16866,13.12,521273,4229,8.11
"2023-50",1676,35175,2228127,15.79,123906,4503,36.34,296495,5017,16.92,1286403,20615,16.03,521323,5040,9.67
"2023-51",1643,39792,2179996,18.25,121839,5694,46.73,291194,6370,21.88,1256760,22225,17.68,510203,5503,10.79
"2023-52",1620,39757,2148190,18.51,120401,5639,46.84,287867,5976,20.76,1237610,22381,18.08,502312,5761,11.47
"2024-01",1624,36598,2152337,17,120747,4095,33.91,287051,4373,15.23,1241209,22565,18.18,503330,5565,11.06
"2024-02",1646,31366,2179158,14.39,124238,3816,30.72,294833,4037,13.69,1252749,18948,15.13,507338,4565,9
"2024-03",1633,25647,2160577,11.87,124525,3931,31.57,296026,3846,12.99,1238656,14376,11.61,501370,3494,6.97
"2024-04",1613,21161,2133852,9.92,123141,3626,29.45,293082,3498,11.94,1222803,11425,9.34,494826,2612,5.28
"2024-05",1590,18819,2102926,8.95,121618,3404,27.99,288734,3348,11.6,1204668,9840,8.17,487906,2227,4.56
"2024-06",1567,16838,2076115,8.11,118542,3014,25.43,282719,2929,10.36,1191747,8820,7.4,483107,2075,4.3
"2024-07",1537,14597,2036210,7.17,116259,2505,21.55,277451,2503,9.02,1168720,7736,6.62,473780,1853,3.91
"2024-08",1497,13883,1982796,7,113722,2332,20.51,272423,2390,8.77,1136246,7499,6.6,460405,1662,3.61
"2024-09",1422,12220,1879926,6.5,107383,2082,19.39,257415,2139,8.31,1078385,6586,6.11,436743,1413,3.24
"2024-10",1304,10827,1722170,6.29,99413,1791,18.02,237239,1880,7.92,986131,5824,5.91,399387,1332,3.34
"2024-11",1028,7620,1356107,5.62,80617,1433,17.78,190772,1443,7.56,770911,3954,5.13,313807,790,2.52
