"year_week","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-24","cases_15-24","inc_15-24","pop_25-44","cases_25-44","inc_25-44","pop_45-64","cases_45-64","inc_45-64","pop_65+","cases_65+","inc_65+"
"2025-42",18438,2585912,"7.13",123004,1956,"15.9",301581,1728,"5.73",243053,2083,"8.57",539975,4679,"8.67",745620,4975,"6.67",632679,3017,"4.77"
"2025-43",18961,2613048,"7.26",125595,2250,"17.91",306475,1896,"6.19",245237,1997,"8.14",544294,4730,"8.69",752147,4922,"6.54",639300,3166,"4.95"
"2025-44",19652,2642940,"7.44",128114,2586,"20.19",312503,2159,"6.91",247873,2006,"8.09",550113,4569,"8.31",759698,5051,"6.65",644639,3281,"5.09"
"2025-45",20936,2667823,"7.85",129827,2982,"22.97",316134,2491,"7.88",249946,2084,"8.34",555052,4905,"8.84",766651,5212,"6.8",650213,3262,"5.02"
"2025-46",22865,2695013,"8.48",131201,3365,"25.65",319232,2890,"9.05",252471,2238,"8.86",560517,5311,"9.48",774166,5489,"7.09",657426,3572,"5.43"
"2025-47",25542,2702293,"9.45",131725,3902,"29.62",319897,3413,"10.67",253254,2578,"10.18",561809,5866,"10.44",776140,6104,"7.86",659468,3679,"5.58"
"2025-48",29175,2710682,"10.76",132911,4313,"32.45",322237,4394,"13.64",253648,3001,"11.83",563128,6652,"11.81",777802,6891,"8.86",660956,3924,"5.94"
"2025-49",35235,2708927,"13.01",134488,5165,"38.4",325173,5662,"17.41",253052,3777,"14.93",560784,7798,"13.91",775820,8172,"10.53",659610,4661,"7.07"
"2025-50",40268,2700027,"14.91",133162,5846,"43.9",322429,6561,"20.35",252972,4507,"17.82",559920,8882,"15.86",774402,9221,"11.91",657142,5251,"7.99"
"2025-51",46726,2679410,"17.44",132883,6693,"50.37",321762,7828,"24.33",250910,5174,"20.62",554802,10173,"18.34",767612,10832,"14.11",651441,6026,"9.25"
"2025-52",39003,2600629,"15",127519,5172,"40.56",308531,6341,"20.55",243298,4266,"17.53",539318,8381,"15.54",747002,9130,"12.22",634961,5713,"9"
"2026-01",38699,2554419,"15.15",122968,4674,"38.01",300546,4765,"15.85",239703,4467,"18.64",531414,8724,"16.42",735977,9725,"13.21",623811,6344,"10.17"
"2026-02",37020,2603459,"14.22",129670,3767,"29.05",312407,4159,"13.31",243196,4223,"17.36",538832,8805,"16.34",746035,9895,"13.26",633319,6171,"9.74"
"2026-03",33075,2561967,"12.91",129012,4254,"32.97",310180,4178,"13.47",239551,3523,"14.71",528655,7475,"14.14",733779,8507,"11.59",620790,5138,"8.28"
"2026-04",27043,2351798,"11.5",122787,4924,"40.1",293045,4108,"14.02",218664,2556,"11.69",481587,5728,"11.89",669489,6276,"9.37",566226,3451,"6.09"
"2026-05",17404,1717126,"10.14",93296,3775,"40.46",221935,2835,"12.77",157996,1460,"9.24",349430,3477,"9.95",484852,3771,"7.78",409617,2086,"5.09"
