"year_week","influenza_viruses","number_samples","number_positive_samples"
"2024-42","FLU A",NA,24
"2024-42","A(H1N1)pdm2009",NA,10
"2024-42","A(H3N2)",NA,12
"2024-42","A",NA,2
"2024-42","FLU B",NA,2
"2024-42","RSV",NA,1
"2024-42","SARS-CoV-2",NA,130
"2024-42","Metapneumovirus",NA,0
"2024-42","Rhinovirus",NA,223
"2024-42","Adenovirus",NA,23
"2024-42","Bocavirus",NA,2
"2024-42","Generic coronavirus",NA,9
"2024-42","Parainfluenzali",NA,30
"2024-43","FLU A",1123,35
"2024-43","A(H1N1)pdm2009",1123,19
"2024-43","A(H3N2)",1123,11
"2024-43","A",1123,5
"2024-43","FLU B",1123,2
"2024-43","RSV",1123,10
"2024-43","SARS-CoV-2",1123,134
"2024-43","Metapneumovirus",1123,1
"2024-43","Rhinovirus",1123,274
"2024-43","Adenovirus",1123,48
"2024-43","Bocavirus",1123,1
"2024-43","Generic coronavirus",1123,10
"2024-43","Parainfluenzali",1123,57
"2024-44","FLU A",1273,77
"2024-44","A(H1N1)pdm2009",1273,39
"2024-44","A(H3N2)",1273,33
"2024-44","A",1273,5
"2024-44","FLU B",1273,1
"2024-44","RSV",1273,16
"2024-44","SARS-CoV-2",1273,140
"2024-44","Metapneumovirus",1273,3
"2024-44","Rhinovirus",1273,288
"2024-44","Adenovirus",1273,63
"2024-44","Bocavirus",1273,7
"2024-44","Generic coronavirus",1273,11
"2024-44","Parainfluenzali",1273,61
"2024-45","FLU A",1320,127
"2024-45","A(H1N1)pdm2009",1320,44
"2024-45","A(H3N2)",1320,61
"2024-45","A",1320,22
"2024-45","FLU B",1320,5
"2024-45","RSV",1320,15
"2024-45","SARS-CoV-2",1320,124
"2024-45","Metapneumovirus",1320,2
"2024-45","Rhinovirus",1320,263
"2024-45","Adenovirus",1320,51
"2024-45","Bocavirus",1320,2
"2024-45","Generic coronavirus",1320,19
"2024-45","Parainfluenzali",1320,53
"2024-46","FLU A",1648,227
"2024-46","A(H1N1)pdm2009",1648,80
"2024-46","A(H3N2)",1648,134
"2024-46","A",1648,13
"2024-46","FLU B",1648,6
"2024-46","RSV",1648,12
"2024-46","SARS-CoV-2",1648,113
"2024-46","Metapneumovirus",1648,4
"2024-46","Rhinovirus",1648,309
"2024-46","Adenovirus",1648,70
"2024-46","Bocavirus",1648,9
"2024-46","Generic coronavirus",1648,28
"2024-46","Parainfluenzali",1648,52
"2024-47","FLU A",1706,270
"2024-47","A(H1N1)pdm2009",1706,101
"2024-47","A(H3N2)",1706,157
"2024-47","A",1706,12
"2024-47","FLU B",1706,2
"2024-47","RSV",1706,26
"2024-47","SARS-CoV-2",1706,91
"2024-47","Metapneumovirus",1706,1
"2024-47","Rhinovirus",1706,270
"2024-47","Adenovirus",1706,96
"2024-47","Bocavirus",1706,15
"2024-47","Generic coronavirus",1706,35
"2024-47","Parainfluenzali",1706,47
"2024-48","FLU A",2088,481
"2024-48","A(H1N1)pdm2009",2088,121
"2024-48","A(H3N2)",2088,280
"2024-48","A",2088,80
"2024-48","FLU B",2088,3
"2024-48","RSV",2088,53
"2024-48","SARS-CoV-2",2088,92
"2024-48","Metapneumovirus",2088,8
"2024-48","Rhinovirus",2088,303
"2024-48","Adenovirus",2088,63
"2024-48","Bocavirus",2088,16
"2024-48","Generic coronavirus",2088,46
"2024-48","Parainfluenzali",2088,70
"2024-49","FLU A",2714,777
"2024-49","A(H1N1)pdm2009",2714,157
"2024-49","A(H3N2)",2714,375
"2024-49","A",2714,245
"2024-49","FLU B",2714,4
"2024-49","RSV",2714,58
"2024-49","SARS-CoV-2",2714,89
"2024-49","Metapneumovirus",2714,10
"2024-49","Rhinovirus",2714,283
"2024-49","Adenovirus",2714,61
"2024-49","Bocavirus",2714,19
"2024-49","Generic coronavirus",2714,55
"2024-49","Parainfluenzali",2714,68
